obs,source
traffic_daily.page_view.hc_open_article_page,click_stream_metric_observation
di_events,new_performance_metric_observation
items_rejected_contacts_on_photo,sellerx_metric_observation_w_startdate
contacts_push,search_stream_metric_observation
localloading_appstart_session_duration,new_performance_metric_observation
big_radius_window_displays,click_stream_metric_observation
first_paint_session_duration,web_performance_metric_observation
searches_map_area_with_contact,search_stream_metric_observation
items_edited_title,sellerx_metric_observation_w_startdate
deactivated_listers,c2c_core_daily_metric_observation
location_dialogue_opens_app_settings,location_changings_metric_observation
search_subscription_removals,click_stream_metric_observation
fav_added_regions,search_stream_metric_observation
anon_calls_matched_by_phone_serp,matched_anonymous_calls_metric_observation
photo_listing_full_screen,click_stream_metric_observation
anonnumber_usefull_talks,communications_metric_observation
buyer_target_clicks_rec_u2i_push,search_stream_metric_observation
searches_district_with_btc,search_stream_metric_observation
init_duration,new_performance_metric_observation
traffic_daily.contact.messenger_amqp_message_add_text,click_stream_metric_observation
serverloading_session_duration_events,new_performance_metric_observation
anon_calls_matched_by_time_fav,matched_anonymous_calls_metric_observation
location_changings,location_changings_metric_observation
appcall_messenger_chat_long_answer_click_phone,app_calls_metric_observation
anon_calls_matched_by_time_rec,matched_anonymous_calls_metric_observation
traffic_daily.page_view.user_registration,click_stream_metric_observation
dom_content_load_events_p50,web_performance_metric_observation
mini_m_text_send_button_clicks,messenger_metric_observation
from_session_start_to_c_map_p50,labor_metric_observation
item_edits_title,sellerx_metric_observation_w_startdate
item_add_chains_form_input,sellerx_metric_observation_w_startdate
dom_load_session_events_p95,web_performance_metric_observation
searches_query_contact,search_stream_metric_observation
ticket_ios_created,support_metric_observation
returned_buyers,contacts_stream_observation
items_with_str_soa,str_metric_observation
serp_empty,search_stream_metric_observation
anon_calls_matched_by_time_map,matched_anonymous_calls_metric_observation
total_send_button_clicks,messenger_metric_observation
location_changings_city_region,location_changings_metric_observation
anonnumber_success_talks_duration,communications_metric_observation
traffic_daily.other.comparison_add,click_stream_metric_observation
draw_duration_events,new_performance_metric_observation
reviews_added,ratings_metric_observation
radius_10_searches,geo_searches_metric_observation
buyer_target_clicks_rec_u2i_vip,search_stream_metric_observation
traffic_daily.other.user_name_enter_confirm_page,click_stream_metric_observation
from_session_start_to_iv_search_nq_p99,labor_metric_observation
buyer_delivery_orders_in_transit,delivery_metric_observation
appcall_bx_incoming_messenger_call_back_answered,app_calls_metric_observation
traffic_daily.other.messnger_filter_unread,click_stream_metric_observation
traffic_daily.page_view.shop_delivery,click_stream_metric_observation
contacts_rec_u2i_premium,search_stream_metric_observation
seller_has_rating_1,ratings_logcat_metric_observation
from_session_start_to_iv_map,labor_metric_observation
avitopro_calls_recordplay,avitopro_key_actions_observations
buyer_str_booking_cost,str_metric_observation
performance_events_count_main,app_performance_metric_observation
active_items_more_3_photo,sellerx_metric_observation_w_startdate
localloading_session_duration,new_performance_metric_observation
item_address_length,item_geo_metric_observation
anon_calls_matched_both_types_serp,matched_anonymous_calls_metric_observation
total_amount,lf_metric_observation
traffic_daily.other.redirect_mav_to_desktop,click_stream_metric_observation
from_session_start_to_iv_search_nq_p75,labor_metric_observation
appcall_sx_outgoing_notification_call_back,app_calls_metric_observation
regions_in_searches,geo_searches_metric_observation
from_session_start_to_iv_p25,labor_metric_observation
localloading_exceptions,new_performance_metric_observation
traffic_daily.other.publicprofile_socialshare,click_stream_metric_observation
vas_transactions_xl,mnz_vas_metric_observation
on_load_events_p75,web_performance_metric_observation
appcall_sx_incoming_item_success,app_calls_metric_observation
mini_m_item_send_button_clicks,messenger_metric_observation
contacts_serp,search_stream_metric_observation
traffic_daily.page_view.account_reportview,click_stream_metric_observation
from_session_start_to_iv_p99,labor_metric_observation
appcall_bx_incoming_call_log_callback_answered,app_calls_metric_observation
items_reactivated_paid,sellerx_metric_observation_w_startdate
messenger_first_messages,messenger_metric_observation
item_views_pro_image,search_stream_metric_observation
traffic_daily.page_view.user_settings,click_stream_metric_observation
contacts_vip,search_stream_metric_observation
searches_radius_with_contact,search_stream_metric_observation
item_100m_from_location_new,item_geo_metric_observation
from_session_start_to_iv_any_source_p25,labor_metric_observation
seller_payout_amount,str_metric_observation
performance_exceptions_count_public_profile,app_performance_metric_observation
delivery_confirm,delivery_metric_observation
radius_50_searches,geo_searches_metric_observation
item_no_coordinates_reactivated,item_geo_metric_observation
dom_interactive_events_p75,web_performance_metric_observation
time_to_firstbyte,web_speed_metric_observartion
items_category_changed_by_moderator,sellerx_metric_observation_w_startdate
initial_pages_finished_events_profile,web_speed_metric_observartion
search_redirect_disabled,click_stream_metric_observation
prepare_appstart_sessions_p25,new_performance_metric_observation
search_redirect_replace,click_stream_metric_observation
from_session_start_to_c_search_nq_p25,labor_metric_observation
