metric_name,metric_id,numerator_observations,denominator_observations,numerator_uniq,denominator_uniq,numerator_threshold,denominator_threshold,date_filter,num_sources,den_sources,sources
users_favouriteseller_activity,5843500016,"user_favouritesellers_open,buyer_favouriteseller_delete,buyer_favouriteseller_add,buyer_favouriteseller_notifications_off,buyer_favouriteseller_notifications_on",,participant,,0,0,,click_stream_metric_observation,,click_stream_metric_observation
users_item_rejected_phone_in_other_profile_start_date,17866500010,items_rejected_phone_in_other_profile,,participant,,0,0,start,sellerx_metric_observation_w_startdate,,sellerx_metric_observation_w_startdate
users_item_view_rec_u2i,3777500006,item_views_rec_u2i,,participant,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
users_item_view_serp_daily,1898250090,item_views_serp,,participant,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
users_search_filter_any,82874000019,"searches_with_filter,searches_with_price_filter",,participant,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
users_searches_extra_delivery,34290500007,searches_extra_delivery,,participant,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
users_vas,4053000030,vas_amount_net,,participant,,0,0,,mnz_vas_metric_observation,,mnz_vas_metric_observation
vas_amount_net_activation_start_date,5080000029,vas_amount_net_activation,,,,0,0,start,mnz_vas_metric_observation,,mnz_vas_metric_observation
vas_amount_xl,5080000053,vas_amount_xl,,,,0,0,,mnz_vas_metric_observation,,mnz_vas_metric_observation
vas_avo_premium,5080000080,vas_amount_premium,vas_transactions_premium,,,0,0,,mnz_vas_metric_observation,mnz_vas_metric_observation,"mnz_vas_metric_observation,mnz_vas_metric_observation"
vas_transactions_fast_start_date,5080000094,vas_transactions_fast,,,,0,0,start,mnz_vas_metric_observation,,mnz_vas_metric_observation
buyer_str_bookings_voided,2820500015,buyer_str_bookings_voided,,,,0,0,,,,
proprofile_w2v,91845500073,proprofile_window2views,,,,0,0,,,,
seller_str_bookings_expired,2820500053,seller_str_bookings_expired,,,,0,0,,,,
suggest_buyers,3236250002,queries_no_redirect_contact,,participant,,0,0,,,,
account_asd_click_email_doc,6122750002,account_asd_click_email_doc,,,,0,0,,avitopro_tmp_metric_observation,,avitopro_tmp_metric_observation
anonnumber_success_talks_ratio,5906250012,anonnumber_success_talks,anonnumber_calls,,,0,0,,communications_metric_observation,communications_metric_observation,"communications_metric_observation,communications_metric_observation"
answered_first_messages_within_1hour_7hour,6395500003,answered_first_messages_within_1hour_7hour,,,,0,0,,messenger_metric_observation,,messenger_metric_observation
answered_proxy_calls_serp,24164500005,answered_proxy_calls_serp,,,,0,0,,matched_anonymous_calls_metric_observation,,matched_anonymous_calls_metric_observation
appcall_bx_outgoing_direct_success_ratio,72387750030,"appcall_bx_outgoing_messenger_chat_menu_success,appcall_bx_outgoing_item_success,appcall_bx_outgoing_item_gallery_success,appcall_bx_outgoing_messenger_chat_long_answer_success","appcall_bx_outgoing_item,appcall_bx_outgoing_messenger_chat_long_answer,appcall_bx_outgoing_messenger_chat_menu,appcall_bx_outgoing_item_gallery",,,0,0,,app_calls_metric_observation,app_calls_metric_observation,"app_calls_metric_observation,app_calls_metric_observation"
bookkeeping_view_events,6122750018,bookkeeping_view_events,,,,0,0,,avitopro_tmp_metric_observation,,avitopro_tmp_metric_observation
btc_from_witcher_delivery,80610750003,buyer_target_clicks_witcher_delivery,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
btc_from_witcher_new_auto,84578500001,buyer_target_clicks_witcher_new_auto,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
c_from_witcher_delivery,80610750009,contacts_witcher_delivery,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
city_level_searches,43547500005,"federal_city_level_searches,city_level_searches",,,,0,0,,geo_searches_metric_observation,,geo_searches_metric_observation
classified_transactions,4927250006,"vas_transactions,ext_transactions,subs_transactions,lf_transactions",,,,0,0,,"b2b_core_daily_metric_observation,mnz_vas_metric_observation",,"b2b_core_daily_metric_observation,mnz_vas_metric_observation"
contact_sessions_from_map,32068000005,contacts_from_map,,"participant,session",,0,0,,search_stream_metric_observation,,search_stream_metric_observation
contacts_paid_express_cv,3124500002,contacts_paid_express_cv,,,,0,0,,express_cv_metric_observation,,express_cv_metric_observation
contacts_push_per_search,1898250023,contacts_push,searches_serp,,,0,0,,search_stream_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,search_stream_metric_observation"
contacts_rec_i2i_vas,34018750015,contacts_rec_i2i_vas,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
created_reviews_list_open,5928500001,created_reviews_list_open,,,,0,0,,click_stream_metric_observation,,click_stream_metric_observation
deactivated_listers,3336250004,deactivated_listers,,,,0,0,,c2c_core_daily_metric_observation,,c2c_core_daily_metric_observation
dom_interactive_percent_p75,38793750025,dom_interactive_events_p75,dom_interactive_events,,,0,0,,web_performance_metric_observation,web_performance_metric_observation,"web_performance_metric_observation,web_performance_metric_observation"
enter_errors_per_user,2602000007,enter_errors,"enter_success,enter_errors",,participant,0,0,,cookie_account_enter,cookie_account_enter,"cookie_account_enter,cookie_account_enter"
fav_added_rec,1898250040,fav_added_rec,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
fav_from_witcher_new_flats,84578500010,fav_added_witcher_new_flats,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
favouriteseller_page_opens,5843500007,user_favouritesellers_open,,,,0,0,,click_stream_metric_observation,,click_stream_metric_observation
