,metric_name,metric_id,numerator_observations,denominator_observations,numerator_uniq,denominator_uniq,numerator_threshold,denominator_threshold,date_filter,num_sources,den_sources,sources
913,sellers_favorite_added_total,5434000026,seller_favorites_added_total,,participant,,0,0,,,,
914,sellers_favorite_removed_total,5434000028,seller_favorites_removed_total,,participant,,0,0,,,,
915,users_item_rejected_total_start_date,5434000041,items_rejected_total,,participant,,0,0,start,,,
916,users_item_sold_another_reason_total,11655250030,items_sold_another_reason_total,,participant,,0,0,,,,
917,users_item_sold_onavito_total,5434000042,items_sold_onavito_total,,participant,,0,0,,,,
918,account_asd_click_email_doc,6122750002,account_asd_click_email_doc,,,,0,0,,avitopro_tmp_metric_observation,,avitopro_tmp_metric_observation
919,anonnumber_success_talks_ratio,5906250012,anonnumber_success_talks,anonnumber_calls,,,0,0,,communications_metric_observation,communications_metric_observation,"communications_metric_observation,communications_metric_observation"
920,answered_first_messages_within_1hour_7hour,6395500003,answered_first_messages_within_1hour_7hour,,,,0,0,,messenger_metric_observation,,messenger_metric_observation
921,answered_proxy_calls_serp,24164500005,answered_proxy_calls_serp,,,,0,0,,matched_anonymous_calls_metric_observation,,matched_anonymous_calls_metric_observation
922,appcall_bx_outgoing_direct_success_ratio,72387750030,"appcall_bx_outgoing_item_success,appcall_bx_outgoing_item_gallery_success,appcall_bx_outgoing_messenger_chat_long_answer_success,appcall_bx_outgoing_messenger_chat_menu_success","appcall_bx_outgoing_item,appcall_bx_outgoing_messenger_chat_menu,appcall_bx_outgoing_item_gallery,appcall_bx_outgoing_messenger_chat_long_answer",,,0,0,,app_calls_metric_observation,app_calls_metric_observation,"app_calls_metric_observation,app_calls_metric_observation"
923,bookkeeping_view_events,6122750018,bookkeeping_view_events,,,,0,0,,avitopro_tmp_metric_observation,,avitopro_tmp_metric_observation
924,btc_from_witcher_delivery,80610750003,buyer_target_clicks_witcher_delivery,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
925,btc_from_witcher_new_auto,84578500001,buyer_target_clicks_witcher_new_auto,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
926,c_from_witcher_delivery,80610750009,contacts_witcher_delivery,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
927,city_level_searches,43547500005,"city_level_searches,federal_city_level_searches",,,,0,0,,geo_searches_metric_observation,,geo_searches_metric_observation
928,classified_transactions,4927250006,"lf_transactions,ext_transactions,subs_transactions,vas_transactions",,,,0,0,,"b2b_core_daily_metric_observation,mnz_vas_metric_observation",,"b2b_core_daily_metric_observation,mnz_vas_metric_observation"
929,contact_sessions_from_map,32068000005,contacts_from_map,,"session,participant",,0,0,,search_stream_metric_observation,,search_stream_metric_observation
930,contacts_paid_express_cv,3124500002,contacts_paid_express_cv,,,,0,0,,express_cv_metric_observation,,express_cv_metric_observation
931,contacts_push_per_search,1898250023,contacts_push,searches_serp,,,0,0,,search_stream_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,search_stream_metric_observation"
932,contacts_rec_i2i_vas,34018750015,contacts_rec_i2i_vas,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
933,created_reviews_list_open,5928500001,created_reviews_list_open,,,,0,0,,click_stream_metric_observation,,click_stream_metric_observation
934,deactivated_listers,3336250004,deactivated_listers,,,,0,0,,c2c_core_daily_metric_observation,,c2c_core_daily_metric_observation
935,dom_interactive_percent_p75,38793750025,dom_interactive_events_p75,dom_interactive_events,,,0,0,,web_performance_metric_observation,web_performance_metric_observation,"web_performance_metric_observation,web_performance_metric_observation"
936,enter_errors_per_user,2602000007,enter_errors,"enter_errors,enter_success",,participant,0,0,,cookie_account_enter,cookie_account_enter,"cookie_account_enter,cookie_account_enter"
937,fav_added_rec,1898250040,fav_added_rec,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
938,fav_from_witcher_new_flats,84578500010,fav_added_witcher_new_flats,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
939,favouriteseller_page_opens,5843500007,user_favouritesellers_open,,,,0,0,,click_stream_metric_observation,,click_stream_metric_observation
940,first_mess_per_active_items_with_msg,15443750002,first_messages,active_items_with_msg,,,0,0,,search_stream_metric_observation,messenger_metric_observation,"messenger_metric_observation,search_stream_metric_observation"
941,geo_redirect_suggest_users_share,28697000004,geo_redirect_suggest,searches,participant,participant,0,0,,click_stream_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,click_stream_metric_observation"
942,item_edits_address_per_item,53780750005,item_edits_address,items_edited_address,,,0,0,,sellerx_metric_observation_w_startdate,sellerx_metric_observation_w_startdate,"sellerx_metric_observation_w_startdate,sellerx_metric_observation_w_startdate"
943,item_views_from_map_grouped,44459000004,item_views_from_map,,"item,participant",,0,0,,search_stream_metric_observation,,search_stream_metric_observation
944,item_views_on_rating_share,74850250014,"itemviews_on_rating_3,itemviews_on_rating_1,itemviews_on_rating_2,itemviews_on_rating_4,itemviews_on_rating_5",item_views,,,0,0,,ratings_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,ratings_metric_observation"
945,item_views_serp_metro_per_search_metro,33695500024,item_views_serp_metro,searches_metro,,,0,0,,search_stream_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,search_stream_metric_observation"
946,items_closed_by_user_per_items_started_net_start_date,4506500003,items_closed_by_user,items_started_net,,,0,0,start,sellerx_metric_observation_w_startdate,sellerx_metric_observation_w_startdate,"sellerx_metric_observation_w_startdate,sellerx_metric_observation_w_startdate"
947,items_delivery_wrong_available_ratio,4921000014,items_delivery_wrong_available,items_with_delivery,,,0,0,,delivery_metric_observation,delivery_metric_observation,"delivery_metric_observation,delivery_metric_observation"
948,items_no_address_string_reactivated_per_react,53780750032,item_no_address_string_reactivated,items_reactivated,,,0,0,,item_geo_metric_observation,sellerx_metric_observation_w_startdate,"sellerx_metric_observation_w_startdate,item_geo_metric_observation"
949,items_rejected_mileage_start_date,17744500029,items_rejected_mileage,,,,0,0,start,sellerx_metric_observation_w_startdate,,sellerx_metric_observation_w_startdate
950,localloading_duration,31579000005,localloading_duration,localloading_duration_events,,,0,0,,new_performance_metric_observation,new_performance_metric_observation,"new_performance_metric_observation,new_performance_metric_observation"
951,localloading_session_duration,31579000006,localloading_session_duration,localloading_session_duration_events,,,0,0,,new_performance_metric_observation,new_performance_metric_observation,"new_performance_metric_observation,new_performance_metric_observation"
952,map_sessions_2plus_maps,76371500001,map_searches,,"participant,session",,2,0,,map_stream_metric_observation,,map_stream_metric_observation
953,meta_regions_level_searches,43547500006,meta_regions_level_searches,,,,0,0,,geo_searches_metric_observation,,geo_searches_metric_observation
954,open_app,84363000001,open_app,,,,0,0,,click_stream_metric_observation,,click_stream_metric_observation
955,review_add_open_page,5928500003,review_add_open_page,,,,0,0,,click_stream_metric_observation,,click_stream_metric_observation
